timestamp,champion_prediction,challenger_prediction,champion_confidence,challenger_confidence,agreement,confidence_delta,latency_champion_ms,latency_challenger_ms,features_hash
2026-05-13T07:04:59.087158,2,2,0.6431,0.6431,True,0.0,33.14,30.94,887372f7
2026-05-13T07:05:10.369598,2,2,0.6431,0.6431,True,0.0,33.23,29.46,887372f7
2026-05-13T07:05:10.439581,2,2,0.6431,0.6431,True,0.0,30.42,28.99,887372f7
2026-05-13T07:05:10.504292,2,2,0.6431,0.6431,True,0.0,29.25,28.31,887372f7
2026-05-13T07:05:10.574441,2,2,0.6431,0.6431,True,0.0,33.88,28.29,887372f7
2026-05-13T07:05:10.641078,2,2,0.6431,0.6431,True,0.0,29.33,29.79,887372f7
2026-05-13T07:14:40.721176,2,2,0.6431,0.6431,True,0.0,34.8,29.01,887372f7
2026-05-13T07:14:40.841744,2,2,0.6825,0.6825,True,0.0,39.56,31.42,fe02b45c
2026-05-13T07:14:40.976127,2,2,0.5613,0.5613,True,0.0,36.69,30.23,1d3bbb3a
2026-05-13T07:14:41.108326,2,2,0.5882,0.5882,True,0.0,30.69,29.38,5d289eac
2026-05-13T07:14:41.250353,2,2,0.5613,0.5613,True,0.0,31.48,30.95,7e2b6d63
2026-05-13T07:14:41.391917,2,2,0.5875,0.5875,True,0.0,34.26,29.1,8f9e7aed
2026-05-13T07:14:41.528764,2,2,0.5563,0.5563,True,0.0,30.46,29.08,258e2679
2026-05-13T07:14:41.671639,2,2,0.6353,0.6353,True,0.0,30.94,29.42,20f270ab
2026-05-13T07:14:41.817847,2,2,0.5563,0.5563,True,0.0,37.16,29.04,037c7220
2026-05-13T07:14:41.948909,2,2,0.6883,0.6883,True,0.0,29.97,29.14,a89186cf
2026-05-13T07:14:42.076637,2,2,0.6324,0.6324,True,0.0,31.28,29.4,85085531
2026-05-13T07:14:42.407706,2,2,0.6431,0.6431,True,0.0,30.83,29.93,887372f7
2026-05-13T09:35:37.658129,2,2,0.6431,0.6431,True,0.0,46.05,29.87,887372f7
2026-05-13T09:36:10.681159,2,2,0.6431,0.6431,True,0.0,38.67,29.83,887372f7
