Alcohol,Malic_Acid,Ash,Alcalinity_of_Ash,Magnesium,Total_Phenols,Flavanoids,Nonflavanoid_Phenols,Proanthocyanins,Color_Intensity,Hue,OD280_OD315,Proline,predicted_class,true_class,timestamp
14.23,1.71,2.43,15.6,127.0,2.8,3.06,0.28,2.29,5.64,1.04,3.92,1065.0,1,1,2026-05-12T23:20:08.474228
13.2,1.78,2.14,11.2,100.0,2.65,2.76,0.26,1.28,4.38,1.05,3.4,1050.0,1,2,2026-05-12T23:20:08.607825
13.16,2.36,2.67,18.6,101.0,2.8,3.24,0.3,2.81,5.68,1.03,3.17,1185.0,2,2,2026-05-12T23:20:08.729534
14.37,1.95,2.5,16.8,113.0,3.85,3.49,0.24,2.18,7.8,0.86,3.45,1480.0,1,1,2026-05-12T23:20:08.854985
13.24,2.59,2.87,21.0,118.0,2.8,2.69,0.39,1.82,4.32,1.04,2.93,735.0,2,3,2026-05-12T23:20:09.026397
14.2,1.76,2.45,15.2,112.0,3.27,3.39,0.34,1.97,6.75,1.05,2.85,1450.0,1,1,2026-05-12T23:20:09.196184
14.39,1.87,2.45,14.6,96.0,2.5,2.52,0.3,1.98,5.25,1.02,3.58,1290.0,1,2,2026-05-12T23:20:09.366466
14.06,2.15,2.61,17.6,121.0,2.6,2.51,0.31,1.25,5.05,1.06,3.58,1295.0,2,2,2026-05-12T23:20:09.487188
12.85,1.6,2.52,17.7,95.0,2.48,2.37,0.26,1.46,3.93,1.09,3.63,1015.0,3,3,2026-05-12T23:20:09.613370
13.5,1.81,2.65,19.0,95.0,2.2,2.43,0.26,1.57,3.8,1.13,3.71,1010.0,3,2,2026-05-12T23:20:09.776237
